"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.173991668491768,-0.341793587593542,3.53089520077879,-0.0968008304291089,0.922884564446249,0.959498968967806
"Q0050",0.504846516705127,0.12567117597521,2.19651089364471,0.0572140007767873,0.954374725422782,0.973404827559713
"Q0055",0.0830772028667432,0.387646336013818,3.5338115409304,0.109696380671097,0.912650170900505,0.951913275679048
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0836076086568406,0.387646336013818,3.5338115409304,0.109696380671097,0.912650170900505,0.951913275679048
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0830772028667432,0.387646336013818,3.5338115409304,0.109696380671097,0.912650170900505,0.951913275679048
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0836076086568406,0.387646336013818,3.5338115409304,0.109696380671097,0.912650170900505,0.951913275679048
"Q0130",0.166446877164005,-0.328685307681081,3.53167059995554,-0.0930679400522852,0.925849586993124,0.959498968967806
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.175157240646457,-0.334451916438374,3.53004197052314,-0.0947444589132772,0.924517803679795,0.959498968967806
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0836076086568406,0.387646336013818,3.5338115409304,0.109696380671097,0.912650170900505,0.951913275679048
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",72.4396943364452,-0.288103859027313,0.155121038570624,-1.85728423224903,0.0632707265151985,0.137114940279238
"YAL002W",63.8682555165229,-0.124915851341895,0.156917264260947,-0.79606187330774,0.425996073329937,0.587177020136914
"YAL003W",1048.74427572907,0.977286422734903,0.0404570485521742,24.1561472650328,6.4347625960935e-129,4.71273237861621e-127
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1792.8750421553,1.41846023226466,0.0335236479100743,42.3122279553113,0,0
"YAL007C",126.385830590961,-0.116738536620766,0.115657535198397,-1.00934657150107,0.312808452375014,0.471830569506041
"YAL008W",61.6386272416368,-0.115087600850297,0.160746965757891,-0.715955043429163,0.474019108845774,0.630079654277155
"YAL009W",42.6741128672786,-0.47928323158767,0.209017800723742,-2.29302590462683,0.0218465136113737,0.0569026128941662
"YAL010C",43.8929904035918,-0.24043578702032,0.190708006627894,-1.26075350097625,0.207397671566654,0.347008824830501
"YAL011W",52.6900780907189,-0.56562132211674,0.176971121267029,-3.19612215861639,0.00139288126034792,0.00535308272089586
